question_id,question,expected,response,correct,gold_position
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,1
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,5
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,10
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,15
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,20
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,25
item_0000,Who hosted the 97th Academy Awards ceremony?,Conan O'Brien,Conan O'Brien,True,30
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,1
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,I don't know.,False,5
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,10
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,15
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,20
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,25
item_0001,How many awards did Anora win at the 97th Academy Awards?,five,Anora won five awards at the 97th Academy Awards.,True,30
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,1
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,5
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,10
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,15
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,20
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,25
item_0002,How many viewers in the United States watched the 97th Academy Awards telecast?,19.69 million,I don't know.,False,30
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,1
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,5
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,10
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,15
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,20
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,25
item_0003,Who became the first member of Generation Z to win an acting Oscar at the 97th Academy Awards?,Mikey Madison,Mikey Madison,True,30
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,I don't know.,False,1
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds.,True,5
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds.,True,10
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds,True,15
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds,True,20
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds,True,25
item_0004,"How long was Adrien Brody's acceptance speech at the 97th Oscars, setting the record for longest in Oscar history?",5 minutes and 37 seconds,5 minutes and 37 seconds,True,30
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,1
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,5
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,10
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,15
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,20
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,25
item_0005,Who became the first Dominican American to win an Oscar at the 97th Academy Awards?,Zoe Saldaña,Zoe Saldaña,True,30
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,1
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,5
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,10
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,15
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,20
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,25
item_0006,Who became the first Black man to win the Oscar for Best Costume Design?,Paul Tazewell,Paul Tazewell,True,30
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,I don't know.,False,1
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,Morgan Freeman,True,5
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,Morgan Freeman,True,10
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,I don't know.,False,15
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,I don't know.,False,20
